symbol,exchange,raw_rows,valid_rows,excluded_records,first_valid,last_valid,segments,max_segment_rows,minimum_history_252,windows_l63_h5,windows_l126_h5
IDC,HNX,1972,1971,26,2018-08-09 09:00:00,2026-08-07 09:00:00,17,1583,True,1548,1452
IDV,HNX,1970,1969,28,2018-08-09 09:00:00,2026-08-07 09:00:00,22,1616,True,1615,1489
KBC,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
KDC,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
KDH,HOSE,1997,1994,3,2018-08-09 09:00:00,2026-08-07 09:00:00,4,1730,True,1824,1698
KOS,HOSE,1992,1991,6,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1621,True,1787,1598
L14,HNX,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
L18,HNX,1547,1547,449,2018-08-10 09:00:00,2026-08-07 09:00:00,107,1349,True,1281,1218
LAS,HNX,1993,1992,5,2018-08-09 09:00:00,2026-08-07 09:00:00,6,1630,True,1757,1624
LHC,HNX,1786,1786,210,2018-08-10 09:00:00,2026-08-07 09:00:00,125,318,True,633,306
LPB,HOSE,1987,1986,11,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1433,True,1782,1593
LTG,UPCOM,1668,1629,402,2018-08-09 09:00:00,2026-06-19 09:00:00,88,1172,True,1327,1201
MBB,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1730,True,1860,1734
MBS,HNX,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
MCH,HOSE,1987,1973,25,2018-08-09 09:00:00,2026-08-07 09:00:00,18,800,True,1459,1150
MFS,UPCOM,1799,1783,45,2019-04-16 09:00:00,2026-08-07 09:00:00,36,568,True,1073,836
MPC,UPCOM,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1617,True,1791,1646
MSB,HOSE,1401,1401,0,2020-12-23 09:00:00,2026-08-07 09:00:00,1,1401,True,1333,1270
MSN,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1749,True,1843,1717
MSR,UPCOM,1997,1992,5,2018-08-09 09:00:00,2026-08-07 09:00:00,5,1617,True,1780,1654
MWG,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1749,True,1843,1717
NAB,HOSE,1448,1448,6,2020-10-09 09:00:00,2026-08-07 09:00:00,2,845,True,1312,1186
NDN,HNX,1997,1997,0,2018-08-09 09:00:00,2026-08-07 09:00:00,1,1997,True,1929,1866
NKG,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1824,1698
NLG,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1841,1715
NT2,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1749,True,1843,1717
NTP,HNX,1992,1991,6,2018-08-09 09:00:00,2026-08-07 09:00:00,7,1640,True,1737,1611
NVL,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1766,True,1860,1734
OCB,HOSE,1376,1376,0,2021-01-28 09:00:00,2026-08-07 09:00:00,1,1376,True,1308,1245
OIL,UPCOM,1997,1993,4,2018-08-09 09:00:00,2026-08-07 09:00:00,5,1537,True,1744,1607
PAN,HOSE,1990,1989,8,2018-08-09 09:00:00,2026-08-07 09:00:00,4,1228,True,1717,1503
PAT,UPCOM,1017,1017,17,2022-06-17 09:00:00,2026-08-07 09:00:00,6,984,True,916,853
PC1,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1611,True,1791,1602
PDR,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1766,True,1860,1734
PHR,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1730,True,1860,1734
PLC,HNX,1982,1982,15,2018-08-09 09:00:00,2026-08-07 09:00:00,14,1673,True,1668,1542
PLX,HOSE,1997,1996,1,2018-08-09 09:00:00,2026-08-07 09:00:00,2,1730,True,1860,1734
PNJ,HOSE,1997,1995,2,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1749,True,1843,1717
POW,HOSE,1988,1987,10,2018-08-09 09:00:00,2026-08-07 09:00:00,3,1730,True,1783,1625
