lookback,sampled_nonoverlap_windows,clipped_values,normalization_values,clip_rate,constant_feature_windows,symbol
126,15,5,11340,0.0004409171075837742,0,BSR
126,15,9,11340,0.0007936507936507937,0,BVH
126,14,10,10584,0.000944822373393802,0,BVS
126,15,18,11340,0.0015873015873015873,0,BWE
126,14,12,10584,0.0011337868480725624,0,C4G
126,10,17,7560,0.0022486772486772486,0,CAP
126,15,5,11340,0.0004409171075837742,0,CEO
126,15,5,11340,0.0004409171075837742,0,CII
126,15,17,11340,0.0014991181657848325,0,CMG
126,15,5,11340,0.0004409171075837742,0,CTD
126,15,4,11340,0.0003527336860670194,0,CTG
126,13,12,9828,0.001221001221001221,0,CTR
126,15,8,11340,0.0007054673721340388,0,CTS
126,14,6,10584,0.0005668934240362812,0,DBC
126,15,5,11340,0.0004409171075837742,0,DCM
126,10,6,7560,0.0007936507936507937,0,DDV
126,15,6,11340,0.0005291005291005291,0,DGW
126,15,8,11340,0.0007054673721340388,0,DIG
126,7,10,5292,0.001889644746787604,0,DP3
126,15,8,11340,0.0007054673721340388,0,DPM
126,4,3,3024,0.000992063492063492,0,DSE
126,15,7,11340,0.0006172839506172839,0,DTD
126,8,3,6048,0.000496031746031746,0,DVM
126,15,4,11340,0.0003527336860670194,0,DXG
126,11,14,8316,0.0016835016835016834,0,DXP
126,14,9,10584,0.0008503401360544217,0,EIB
126,14,13,10584,0.0012282690854119426,0,EVF
126,11,16,8316,0.001924001924001924,0,FOX
126,14,10,10584,0.000944822373393802,0,FPT
126,14,5,10584,0.000472411186696901,0,FRT
126,15,7,11340,0.0006172839506172839,0,FTS
126,15,1,11340,8.818342151675486e-05,0,GAS
126,5,6,3780,0.0015873015873015873,0,GEE
126,15,13,11340,0.001146384479717813,0,GEX
126,14,13,10584,0.0012282690854119426,0,GMD
126,15,6,11340,0.0005291005291005291,0,GVR
126,14,6,10584,0.0005668934240362812,0,HAG
126,15,7,11340,0.0006172839506172839,0,HBC
126,15,8,11340,0.0007054673721340388,0,HCM
126,14,1,10584,9.44822373393802e-05,0,HDB
126,14,10,10584,0.000944822373393802,0,HDG
126,9,7,6804,0.00102880658436214,0,HHV
126,14,15,10584,0.001417233560090703,0,HNG
126,14,3,10584,0.0002834467120181406,0,HPG
126,14,3,10584,0.0002834467120181406,0,HSG
126,15,7,11340,0.0006172839506172839,0,HT1
126,15,17,11340,0.0014991181657848325,0,HUT
126,12,7,9072,0.0007716049382716049,0,IDC
126,13,18,9828,0.0018315018315018315,0,IDV
126,14,10,10584,0.000944822373393802,0,KBC
126,14,10,10584,0.000944822373393802,0,KDC
126,14,11,10584,0.0010393046107331821,0,KDH
126,14,13,10584,0.0012282690854119426,0,KOS
126,15,13,11340,0.001146384479717813,0,L14
126,10,14,7560,0.001851851851851852,0,L18
126,14,6,10584,0.0005668934240362812,0,LAS
126,5,12,3780,0.0031746031746031746,0,LHC
126,15,12,11340,0.0010582010582010583,0,LPB
126,11,10,8316,0.0012025012025012026,0,LTG
126,15,7,11340,0.0006172839506172839,0,MBB
126,15,9,11340,0.0007936507936507937,0,MBS
126,12,16,9072,0.001763668430335097,0,MCH
126,9,13,6804,0.0019106407995296885,0,MFS
126,14,17,10584,0.0016061980347694634,0,MPC
126,11,5,8316,0.0006012506012506013,0,MSB
126,14,9,10584,0.0008503401360544217,0,MSN
126,14,13,10584,0.0012282690854119426,0,MSR
126,14,6,10584,0.0005668934240362812,0,MWG
126,10,12,7560,0.0015873015873015873,0,NAB
126,15,6,11340,0.0005291005291005291,0,NDN
126,14,6,10584,0.0005668934240362812,0,NKG
126,14,13,10584,0.0012282690854119426,0,NLG
126,14,7,10584,0.0006613756613756613,0,NT2
126,14,25,10584,0.002362055933484505,0,NTP
126,15,16,11340,0.0014109347442680777,0,NVL
126,10,10,7560,0.0013227513227513227,0,OCB
126,14,10,10584,0.000944822373393802,0,OIL
126,13,6,9828,0.0006105006105006105,0,PAN
126,7,3,5292,0.0005668934240362812,0,PAT
126,14,8,10584,0.0007558578987150416,0,PC1
126,15,10,11340,0.0008818342151675485,0,PDR
126,15,3,11340,0.00026455026455026457,0,PHR
126,14,15,10584,0.001417233560090703,0,PLC
126,15,4,11340,0.0003527336860670194,0,PLX
126,14,12,10584,0.0011337868480725624,0,PNJ
126,14,10,10584,0.000944822373393802,0,POW
126,10,8,7560,0.0010582010582010583,0,PSD
126,15,10,11340,0.0008818342151675485,0,PVB
126,15,9,11340,0.0007936507936507937,0,PVC
126,14,3,10584,0.0002834467120181406,0,PVD
126,15,4,11340,0.0003527336860670194,0,PVS
126,15,5,11340,0.0004409171075837742,0,PVT
126,14,17,10584,0.0016061980347694634,0,QNS
126,15,10,11340,0.0008818342151675485,0,REE
126,15,10,11340,0.0008818342151675485,0,SAB
126,15,15,11340,0.0013227513227513227,0,SBT
126,13,7,9828,0.0007122507122507123,0,SGP
126,15,12,11340,0.0010582010582010583,0,SHB
126,15,1,11340,8.818342151675486e-05,0,SHS
126,11,16,8316,0.001924001924001924,0,SIP
126,14,13,10584,0.0012282690854119426,0,SJS
126,11,20,8316,0.002405002405002405,0,SLS
126,10,2,7560,0.00026455026455026457,0,SSB
126,15,6,11340,0.0005291005291005291,0,SSI
126,14,10,10584,0.000944822373393802,0,STB
126,4,10,3024,0.0033068783068783067,0,TAL
126,14,9,10584,0.0008503401360544217,0,TCB
126,14,8,10584,0.0007558578987150416,0,TCH
126,1,2,756,0.0026455026455026454,0,TCX
126,3,4,2268,0.001763668430335097,0,TMB
126,15,3,11340,0.00026455026455026457,0,TNG
126,14,15,10584,0.001417233560090703,0,TPB
126,11,11,8316,0.0013227513227513227,0,TVD
126,15,2,11340,0.0001763668430335097,0,VC3
126,14,9,10584,0.0008503401360544217,0,VCB
126,15,11,11340,0.0009700176366843034,0,VCG
126,15,6,11340,0.0005291005291005291,0,VCI
126,1,1,756,0.0013227513227513227,0,VCK
126,15,14,11340,0.0012345679012345679,0,VCS
126,14,14,10584,0.0013227513227513227,0,VEA
126,12,20,9072,0.002204585537918871,0,VEF
126,11,11,8316,0.0013227513227513227,0,VFS
126,14,12,10584,0.0011337868480725624,0,VGC
126,14,10,10584,0.000944822373393802,0,VGI
126,13,8,9828,0.000814000814000814,0,VGT
126,14,5,10584,0.000472411186696901,0,VHC
126,14,4,10584,0.0003779289493575208,0,VHM
126,14,20,10584,0.001889644746787604,0,VIB
126,14,12,10584,0.0011337868480725624,0,VIC
126,14,12,10584,0.0011337868480725624,0,VIX
126,14,8,10584,0.0007558578987150416,0,VJC
126,13,8,9828,0.000814000814000814,0,VND
126,14,10,10584,0.000944822373393802,0,VNM
126,15,3,11340,0.00026455026455026457,0,VPB
126,15,6,11340,0.0005291005291005291,0,VPI
126,2,2,1512,0.0013227513227513227,0,VPL
126,1,0,756,0.0,0,VPX
126,14,10,10584,0.000944822373393802,0,VRE
126,14,11,10584,0.0010393046107331821,0,VSC
126,12,4,9072,0.0004409171075837742,0,VTP
